run_name,source_raw_jsonl,output_jsonl,num_examples,pass_rate,fail_rate,avg_faithfulness,avg_relevance,avg_completeness,avg_safety
bm25_779137bf3e9c_top5_ret20_rerankfalse_heuristic,artifacts/experiments/e2e_practical_20260512/generation/bm25_779137bf3e9c_top5_ret20_rerankfalse_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/bm25_779137bf3e9c_top5_ret20_rerankfalse_heuristic.llm_judge_n50.jsonl,50.0,0.7,0.3,4.28,4.74,3.96,5.0
bm25_779137bf3e9c_top5_ret20_reranktrue_heuristic,artifacts/experiments/e2e_practical_20260512/generation/bm25_779137bf3e9c_top5_ret20_reranktrue_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/bm25_779137bf3e9c_top5_ret20_reranktrue_heuristic.llm_judge_n50.jsonl,50.0,0.68,0.32,4.06,4.78,3.94,4.94
dense_qdrant_8026f7536bfe_top5_ret20_rerankfalse_heuristic,artifacts/experiments/e2e_practical_20260512/generation/dense_qdrant_8026f7536bfe_top5_ret20_rerankfalse_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/dense_qdrant_8026f7536bfe_top5_ret20_rerankfalse_heuristic.llm_judge_n50.jsonl,50.0,0.66,0.34,3.96,4.76,3.68,4.9
dense_qdrant_8026f7536bfe_top5_ret20_reranktrue_heuristic,artifacts/experiments/e2e_practical_20260512/generation/dense_qdrant_8026f7536bfe_top5_ret20_reranktrue_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/dense_qdrant_8026f7536bfe_top5_ret20_reranktrue_heuristic.llm_judge_n50.jsonl,50.0,0.64,0.36,3.86,4.54,3.74,4.96
graph_bm25_8958ada059b3_top5_ret20_rerankfalse_heuristic,artifacts/experiments/e2e_practical_20260512/generation/graph_bm25_8958ada059b3_top5_ret20_rerankfalse_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/graph_bm25_8958ada059b3_top5_ret20_rerankfalse_heuristic.llm_judge_n50.jsonl,50.0,0.72,0.28,4.28,4.72,3.92,5.0
graph_bm25_8958ada059b3_top5_ret20_reranktrue_heuristic,artifacts/experiments/e2e_practical_20260512/generation/graph_bm25_8958ada059b3_top5_ret20_reranktrue_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/graph_bm25_8958ada059b3_top5_ret20_reranktrue_heuristic.llm_judge_n50.jsonl,50.0,0.72,0.28,4.34,4.86,4.02,4.94
graph_hybrid_medcpt_trained_da2564769ef9_top5_ret20_rerankfalse_heuristic,artifacts/experiments/e2e_practical_20260512/generation/graph_hybrid_medcpt_trained_da2564769ef9_top5_ret20_rerankfalse_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/graph_hybrid_medcpt_trained_da2564769ef9_top5_ret20_rerankfalse_heuristic.llm_judge_n50.jsonl,50.0,0.64,0.36,4.02,4.84,3.96,4.9
graph_hybrid_medcpt_trained_da2564769ef9_top5_ret20_reranktrue_heuristic,artifacts/experiments/e2e_practical_20260512/generation/graph_hybrid_medcpt_trained_da2564769ef9_top5_ret20_reranktrue_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/graph_hybrid_medcpt_trained_da2564769ef9_top5_ret20_reranktrue_heuristic.llm_judge_n50.jsonl,50.0,0.66,0.34,3.98,4.8,3.76,4.94
graph_hybrid_qdrant_29dba24853cd_top5_ret20_rerankfalse_heuristic,artifacts/experiments/e2e_practical_20260512/generation/graph_hybrid_qdrant_29dba24853cd_top5_ret20_rerankfalse_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/graph_hybrid_qdrant_29dba24853cd_top5_ret20_rerankfalse_heuristic.llm_judge_n50.jsonl,50.0,0.68,0.32,4.1,4.88,3.94,4.94
graph_hybrid_qdrant_29dba24853cd_top5_ret20_reranktrue_heuristic,artifacts/experiments/e2e_practical_20260512/generation/graph_hybrid_qdrant_29dba24853cd_top5_ret20_reranktrue_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/graph_hybrid_qdrant_29dba24853cd_top5_ret20_reranktrue_heuristic.llm_judge_n50.jsonl,50.0,0.66,0.34,3.94,4.88,3.88,4.96
graph_qdrant_eb939b866742_top5_ret20_rerankfalse_heuristic,artifacts/experiments/e2e_practical_20260512/generation/graph_qdrant_eb939b866742_top5_ret20_rerankfalse_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/graph_qdrant_eb939b866742_top5_ret20_rerankfalse_heuristic.llm_judge_n50.jsonl,50.0,0.68,0.32,4.0,4.8,3.76,4.98
